SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
22019,1610612746,LAC,LA Clippers,0021900343,2019-12-09,LAC @ IND,W,241,110,40,97,0.412,10,32,0.313,20,27,0.741,11,45,56,19,7,7,10,16,11.0
22019,1610612746,LAC,LA Clippers,0021900339,2019-12-08,LAC @ WAS,W,241,135,50,96,0.521,15,40,0.375,20,27,0.741,9,36,45,27,8,4,10,26,16.0
22019,1610612746,LAC,LA Clippers,0021900327,2019-12-06,LAC @ MIL,L,240,91,33,94,0.351,8,32,0.25,17,19,0.895,12,36,48,18,9,4,21,19,-28.0
22019,1610612746,LAC,LA Clippers,0021900305,2019-12-03,LAC vs. POR,W,239,117,43,94,0.457,17,34,0.5,14,25,0.56,11,38,49,25,7,3,10,15,20.0
22019,1610612746,LAC,LA Clippers,0021900292,2019-12-01,LAC vs. WAS,W,240,150,52,94,0.553,14,32,0.438,32,40,0.8,10,42,52,22,8,5,16,25,25.0
22019,1610612746,LAC,LA Clippers,0021900276,2019-11-29,LAC @ SAS,L,242,97,36,92,0.391,12,33,0.364,13,13,1.0,9,39,48,23,6,5,14,17,-10.0
22019,1610612746,LAC,LA Clippers,0021900260,2019-11-27,LAC @ MEM,W,241,121,44,95,0.463,14,41,0.341,19,25,0.76,13,30,43,30,11,6,15,24,2.0
22019,1610612746,LAC,LA Clippers,0021900251,2019-11-26,LAC @ DAL,W,238,114,41,97,0.423,11,33,0.333,21,30,0.7,17,39,56,22,12,3,14,27,15.0
22019,1610612746,LAC,LA Clippers,0021900239,2019-11-24,LAC vs. NOP,W,241,134,46,98,0.469,16,43,0.372,26,33,0.788,16,40,56,27,4,5,6,21,25.0
22019,1610612746,LAC,LA Clippers,0021900224,2019-11-22,LAC vs. HOU,W,238,122,45,87,0.517,13,33,0.394,19,24,0.792,10,37,47,27,9,4,19,32,3.0
22019,1610612746,LAC,LA Clippers,0021900212,2019-11-20,LAC vs. BOS,W,266,107,39,93,0.419,17,45,0.378,12,16,0.75,14,39,53,26,12,9,23,18,3.0
22019,1610612746,LAC,LA Clippers,0021900197,2019-11-18,LAC vs. OKC,W,239,90,35,87,0.402,10,36,0.278,10,14,0.714,13,36,49,23,7,5,17,25,2.0
22019,1610612746,LAC,LA Clippers,0021900182,2019-11-16,LAC vs. ATL,W,242,150,50,93,0.538,17,33,0.515,33,35,0.943,12,41,53,30,10,12,19,28,49.0
